,Time,latitude,longitude,Depth,Total Log,Heading,STW,COG,SOG,TWD,TWA,TWS,AWA,AWS,AWS (max),Water Temperature,date,speed_delta,distance,log_entry,data,havens,vertrekhaven,tussenstop,aankomsthaven
0,,,,,,,,,,,,,,,,,,,,2024-06-01 - van Walsoorden naar Paal.md,2024-06-01,- van Walsoorden naar Paal, van Walsoorden naar Paal,,
1,,,,,,,,,,,,,,,,,,,,2024-06-01 - WV Saeftinghe.md,2024-06-01,- WV Saeftinghe, WV Saeftinghe,,
2,,,,,,,,,,,,,,,,,,,,2024-06-03 - Proefvaart met Bart.md,2024-06-03,- Proefvaart met Bart, Proefvaart met Bart,,
3,,,,,,,,,,,,,,,,,,,,2024-06-08 - Marifoonexamen.md,2024-06-08,- Marifoonexamen, Marifoonexamen,,
4,,,,,,,,,,,,,,,,,,,,2024-06-19 - Vriendelijke Zeeuwen.md,2024-06-19,- Vriendelijke Zeeuwen, Vriendelijke Zeeuwen,,
5,,,,,,,,,,,,,,,,,,,,2024-06-21 - Avond voor vertrek.md,2024-06-21,- Avond voor vertrek, Avond voor vertrek,,
6,,,,,,,,,,,,,,,,,,,,2024-06-22 - Paal - Vlissingen.md,2024-06-22,- Paal - Vlissingen, Paal ,, Vlissingen
7,,,,,,,,,,,,,,,,,,,,2024-06-25 - Vlissingen Scheveningen.md,2024-06-25,- Vlissingen Scheveningen, Vlissingen Scheveningen,,
8,,,,,,,,,,,,,,,,,,,,2024-06-30 - Scheveningen - IJmuiden.md,2024-06-30,- Scheveningen - IJmuiden, Scheveningen ,, IJmuiden
9,,,,,,,,,,,,,,,,,,,,2024-07-05 - IJmuiden - Naarden.md,2024-07-05,- IJmuiden - Naarden, IJmuiden ,, Naarden
10,,,,,,,,,,,,,,,,,,,,2024-07-06 - Naarden - Muiden.md,2024-07-06,- Naarden - Muiden, Naarden ,, Muiden
11,,,,,,,,,,,,,,,,,,,,2024-07-07 - Muiden - Hoorn.md,2024-07-07,- Muiden - Hoorn, Muiden ,, Hoorn
12,,,,,,,,,,,,,,,,,,,,2024-07-10 - Hoornse Hop.md,2024-07-10,- Hoornse Hop, Hoornse Hop,,
13,,,,,,,,,,,,,,,,,,,,2024-07-17 - Hoornse Hop.md,2024-07-17,- Hoornse Hop, Hoornse Hop,,
14,,,,,,,,,,,,,,,,,,,,2024-08-03 - Hoorn - Enkhuizen.md,2024-08-03,- Hoorn - Enkhuizen, Hoorn ,, Enkhuizen
15,,,,,,,,,,,,,,,,,,,,2024-08-04 - Enkhuizen - Enkhuizen.md,2024-08-04,- Enkhuizen - Enkhuizen, Enkhuizen ,, Enkhuizen
16,,,,,,,,,,,,,,,,,,,,2024-08-05 - Enkhuizen - Den Oever (Waddenhaven).md,2024-08-05,- Enkhuizen - Den Oever (Waddenhaven), Enkhuizen ,, Den Oever (Waddenhaven)
17,,,,,,,,,,,,,,,,,,,,2024-08-06 - Den Oever - Amsteldiep (en terug).md,2024-08-06,- Den Oever - Amsteldiep (en terug), Den Oever ,, Amsteldiep (en terug)
18,,,,,,,,,,,,,,,,,,,,2024-08-07 - Den Oever - Amsteldiep (en terug).md,2024-08-07,- Den Oever - Amsteldiep (en terug), Den Oever ,, Amsteldiep (en terug)
19,,,,,,,,,,,,,,,,,,,,2024-08-08 - Den Oever - Texel (via De Bollen).md,2024-08-08,- Den Oever - Texel (via De Bollen), Den Oever ,, Texel (via De Bollen)
20,,,,,,,,,,,,,,,,,,,,2024-08-10 - Texel - Makkum (via Texelstroom en Doove Balg).md,2024-08-10,- Texel - Makkum (via Texelstroom en Doove Balg), Texel ,, Makkum (via Texelstroom en Doove Balg)
21,,,,,,,,,,,,,,,,,,,,2024-08-11 - WSV Makkum - Centrum Makkum.md,2024-08-11,- WSV Makkum - Centrum Makkum, WSV Makkum ,, Centrum Makkum
22,,,,,,,,,,,,,,,,,,,,2024-09-04 - Makkum-Makkum.md,2024-09-04,- Makkum-Makkum, Makkum,,Makkum
23,,,,,,,,,,,,,,,,,,,,2024-09-06 - Makkum - Marina Makkum.md,2024-09-06,- Makkum - Marina Makkum, Makkum ,, Marina Makkum
24,,,,,,,,,,,,,,,,,,,,2024-09-07 - Makkum - Richel.md,2024-09-07,- Makkum - Richel, Makkum ,, Richel
25,,,,,,,,,,,,,,,,,,,,2024-09-08 - Richel - Makkum.md,2024-09-08,- Richel - Makkum, Richel ,, Makkum
26,,,,,,,,,,,,,,,,,,,,2024-09-14 - Makkum - Enkhuizen.md,2024-09-14,- Makkum - Enkhuizen, Makkum ,, Enkhuizen
27,,,,,,,,,,,,,,,,,,,,2024-09-15 - Enkhuizen - Hoorn.md,2024-09-15,- Enkhuizen - Hoorn, Enkhuizen ,, Hoorn
28,,,,,,,,,,,,,,,,,,,,2024-09-20 - Hoorn - Markerwadden.md,2024-09-20,- Hoorn - Markerwadden, Hoorn ,, Markerwadden
29,,,,,,,,,,,,,,,,,,,,2024-09-21 - Markerwadden - Hoorn.md,2024-09-21,- Markerwadden - Hoorn, Markerwadden ,, Hoorn
30,,,,,,,,,,,,,,,,,,,,2024-10-25 - Hoorn - Den Oever.md,2024-10-25,- Hoorn - Den Oever, Hoorn ,, Den Oever
31,,,,,,,,,,,,,,,,,,,,2024-10-26 - Den Oever - Amsteldiep - Medemblik.md,2024-10-26,- Den Oever - Amsteldiep - Medemblik, Den Oever , Amsteldiep , Medemblik
32,,,,,,,,,,,,,,,,,,,,2024-10-27 - Medemblik - Hoorn.md,2024-10-27,- Medemblik - Hoorn, Medemblik ,, Hoorn
33,,,,,,,,,,,,,,,,,,,,2024-11-16 - Hoorn - Amsterdam.md,2024-11-16,- Hoorn - Amsterdam, Hoorn ,, Amsterdam
34,,,,,,,,,,,,,,,,,,,,2025-03-29 - Rhebergen (Amsterdam)  - Hoorn.md,2025-03-29,- Rhebergen (Amsterdam)  - Hoorn, Rhebergen (Amsterdam)  ,, Hoorn
35,,,,,,,,,,,,,,,,,,,,2025-04-04 - Hoorn - Marken - Hoorn.md,2025-04-04,- Hoorn - Marken - Hoorn, Hoorn , Marken , Hoorn
36,,,,,,,,,,,,,,,,,,,,2025-04-06 - Hoorn-Marken-Hoorn.md,2025-04-06,- Hoorn-Marken-Hoorn, Hoorn,Marken,Hoorn
37,,,,,,,,,,,,,,,,,,,,2025-04-19 - Hoorn - Marker Wadden - Hoorn.md,2025-04-19,- Hoorn - Marker Wadden - Hoorn, Hoorn , Marker Wadden , Hoorn
38,2025-04-25 15:39:00,52.6379783,5.0665216,2.87,,,,,,,,,,,,,2025-04-25,,,,,,,,
39,2025-04-25 15:45:00,52.6379616,5.066415,2.78,,,,,,,,,,,,,2025-04-25,,0.0040147825706176215,,,,,,
40,2025-04-26 11:22:00,52.6379816,5.06658,2.88,,,,,,,,,,,,,2025-04-26,,0.006135841204507944,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
41,2025-04-26 11:27:00,52.6379566,5.0664666,3.04,,,,,,,,,,,,,2025-04-26,,0.00439973706077037,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
42,2025-04-26 11:41:00,52.6379733,5.0663933,2.72,,,,,,,,,,,,,2025-04-26,,0.0028551729865272536,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
43,2025-04-26 11:49:00,52.637935,5.0664366,2.68,,,,,,,,,,,,,2025-04-26,,0.0027910946846054336,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
44,2025-04-26 11:54:00,52.6356133,5.064475,3.25,,,,,,,,,,,,,2025-04-26,,0.156785298434083,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
45,2025-04-26 11:59:00,52.63161,5.0696333,3.33,,,,,,,,,,,,,2025-04-26,,0.30538880476195085,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
46,2025-04-26 12:04:00,52.6298733,5.0749383,3.47,,,,,,,,,,,,,2025-04-26,,0.2198376255549455,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
47,2025-04-26 12:09:00,52.6255433,5.0804633,3.47,,,,,,,,,,,,,2025-04-26,,0.3291122644590549,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
48,2025-04-26 12:14:00,52.62183,5.08412,3.54,,,,,,,,,,,,,2025-04-26,,0.25996905949837995,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
49,2025-04-26 12:19:00,52.616835,5.08739,3.77,,,,,,,,,,,,,2025-04-26,,0.3229960956183572,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
50,2025-04-26 12:24:00,52.6112533,5.0910183,3.56,,,,,,,,,,,,,2025-04-26,,0.3605938752304339,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
51,2025-04-26 12:29:00,52.6054983,5.09554,3.46,,,,,,,,,,,,,2025-04-26,,0.383174372936922,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
52,2025-04-26 12:38:00,52.5952683,5.1062533,3.83,,,,,,,,,,,,,2025-04-26,,0.7285561276692236,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
53,2025-04-26 12:43:00,52.5913266,5.11254,3.85,,,,,,,,,,,,,2025-04-26,,0.329801877759962,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
54,2025-04-26 12:48:00,52.5887466,5.1198383,3.7,,,,,,,,,,,,,2025-04-26,,0.3082601179031985,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
55,2025-04-26 12:53:00,52.5877866,5.1248283,3.64,,,,,,,,,,,,,2025-04-26,,0.19109064262022402,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
56,2025-04-26 12:57:59,52.593705,5.1245166,3.53,,,,,,,,,,,,,2025-04-26,,0.35582862258167264,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
57,2025-04-26 13:03:00,52.6001066,5.1256,3.78,,,,,,,,,,,,,2025-04-26,,0.3867101868246958,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
58,2025-04-26 13:08:00,52.6055233,5.127275,3.81,,,,,,,,,,,,,2025-04-26,,0.33118924352869605,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
59,2025-04-26 13:13:00,52.6027883,5.1340183,4.07,,,,,,,,,,,,,2025-04-26,,0.295929097145998,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
60,2025-04-26 13:18:00,52.60027,5.1409883,3.99,,,,,,,,,,,,,2025-04-26,,0.29599252072721244,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
61,2025-04-26 13:23:00,52.5965233,5.1421716,3.96,,,,,,,,,,,,,2025-04-26,,0.22925068557852918,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
62,2025-04-26 13:28:00,52.5921883,5.1474016,4.03,,,,,,,,,,,,,2025-04-26,,0.32296392922047623,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
63,2025-04-26 13:33:00,52.5879116,5.1525433,4.01,,,,,,,,,,,,,2025-04-26,,0.3182442025181243,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
64,2025-04-26 13:38:00,52.5829816,5.15866,4.06,,,,,,,,,,,,,2025-04-26,,0.370996480458166,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
65,2025-04-26 13:43:00,52.577715,5.165455,3.92,,,,,,,,,,,,,2025-04-26,,0.40214526005826406,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
66,2025-04-26 13:48:00,52.5798716,5.1679783,3.81,,,,,,,,,,,,,2025-04-26,,0.159010760368871,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
67,2025-04-26 13:53:00,52.5850916,5.1672416,3.73,,,,,,,,,,,,,2025-04-26,,0.31482982951993815,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
68,2025-04-26 13:58:00,52.5908883,5.166735,3.83,,,,,,,,,,,,,2025-04-26,,0.3488241377945051,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
69,2025-04-26 14:03:00,52.596835,5.1663533,3.96,,,,,,,,,,,,,2025-04-26,,0.3576187641416728,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
70,2025-04-26 14:08:00,52.602775,5.1657283,4.02,,,,,,,,,,,,,2025-04-26,,0.3576727879437448,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
71,2025-04-26 14:13:00,52.6090916,5.16516,4.05,,,,,,,,,,,,,2025-04-26,,0.38014129265320523,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
72,2025-04-26 14:18:00,52.61209,5.1665233,3.95,,,,,,,,,,,,,2025-04-26,,0.18692005377807577,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
73,2025-04-26 14:23:00,52.6066883,5.1719316,4.05,,,,,,,,,,,,,2025-04-26,,0.3798826698519448,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
74,2025-04-26 14:28:00,52.6013666,5.1775416,4.02,,,,,,,,,,,,,2025-04-26,,0.37971376825003755,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
75,2025-04-26 14:33:00,52.603535,5.1781466,3.86,,,,,,,,,,,,,2025-04-26,,0.1321603497862032,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
76,2025-04-26 14:38:00,52.6078666,5.1768683,3.81,,,,,,,,,,,,,2025-04-26,,0.2644403720320431,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
77,2025-04-26 14:43:00,52.61254,5.175765,4.0,,,,,,,,,,,,,2025-04-26,,0.28370351154357215,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
78,2025-04-26 14:48:00,52.61057,5.1826866,4.11,,,,,,,,,,,,,2025-04-26,,0.27892706041884113,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
79,2025-04-26 14:53:00,52.6086933,5.190645,4.14,,,,,,,,,,,,,2025-04-26,,0.3115321896739055,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
80,2025-04-26 14:58:00,52.6068916,5.1990366,4.08,,,,,,,,,,,,,2025-04-26,,0.32479994321523725,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
81,2025-04-26 15:03:00,52.6050916,5.2071033,3.85,,,,,,,,,,,,,2025-04-26,,0.313622861194379,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
82,2025-04-26 15:08:00,52.60414,5.2141883,4.09,,,,,,,,,,,,,2025-04-26,,0.26481055499765827,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
83,2025-04-26 15:13:00,52.6032083,5.2225916,4.01,,,,,,,,,,,,,2025-04-26,,0.311748561421133,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
84,2025-04-26 15:18:00,52.604905,5.2238783,3.86,,,,,,,,,,,,,2025-04-26,,0.11225146955259287,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
85,2025-04-26 15:23:00,52.6078666,5.22067,4.06,,,,,,,,,,,,,2025-04-26,,0.21302634606658752,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
86,2025-04-26 15:28:00,52.6112233,5.21719,3.9,,,,,,,,,,,,,2025-04-26,,0.23835335421207327,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
87,2025-04-26 15:33:00,52.6151966,5.2133333,3.82,,,,,,,,,,,,,2025-04-26,,0.27714551811223087,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
88,2025-04-26 15:38:00,52.6191083,5.2095283,3.76,,,,,,,,,,,,,2025-04-26,,0.27299247836030777,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
89,2025-04-26 15:43:00,52.621585,5.209075,3.95,,,,,,,,,,,,,2025-04-26,,0.14974500331854618,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
90,2025-04-26 15:48:00,52.620735,5.21555,3.76,,,,,,,,,,,,,2025-04-26,,0.24167132105945013,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
91,2025-04-26 15:53:00,52.6201916,5.2224183,3.76,,,,,,,,,,,,,2025-04-26,,0.2526825203396673,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
92,2025-04-26 15:58:00,52.6204416,5.2286133,3.86,,,,,,,,,,,,,2025-04-26,,0.22650046300557916,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
93,2025-04-26 16:03:00,52.6210683,5.2359533,3.86,,,,,,,,,,,,,2025-04-26,,0.27040538852788243,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
94,2025-04-26 16:08:00,52.62215,5.2432233,3.84,,,,,,,,,,,,,2025-04-26,,0.27306075743707425,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
95,2025-04-26 16:13:00,52.6234033,5.2507333,4.03,,,,,,,,,,,,,2025-04-26,,0.28412267484682246,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
96,2025-04-26 16:18:00,52.62476,5.258015,3.88,,,,,,,,,,,,,2025-04-26,,0.2778528052789218,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
97,2025-04-26 16:23:00,52.6267466,5.2629233,3.59,,,,,,,,,,,,,2025-04-26,,0.21518850544480575,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
98,2025-04-26 16:28:00,52.6313333,5.260075,3.81,,,,,,,,,,,,,2025-04-26,,0.2945517063037909,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
99,2025-04-26 16:33:00,52.635285,5.256925,3.59,,,,,,,,,,,,,2025-04-26,,0.263793816887686,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
100,2025-04-26 16:38:00,52.6394016,5.2541616,3.63,,,,,,,,,,,,,2025-04-26,,0.26711207470532794,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
101,2025-04-26 16:43:00,52.643165,5.2515266,3.37,,,,,,,,,,,,,2025-04-26,,0.24571361866455518,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
102,2025-04-26 16:48:00,52.6469816,5.247825,3.45,,,,,,,,,,,,,2025-04-26,,0.2661099769643552,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
103,2025-04-26 16:53:00,52.6518516,5.2425816,3.25,,,,,,,,,,,,,2025-04-26,,0.3495478618593032,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
104,2025-04-26 16:58:00,52.6561166,5.2396283,3.04,,,,,,,,,,,,,2025-04-26,,0.2779841830033177,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
105,2025-04-26 17:03:00,52.6559283,5.2472733,3.19,,,,,,,,,,,,,2025-04-26,,0.2789016836571809,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
106,2025-04-26 17:08:00,52.66224,5.2511333,3.2,,,,,,,,,,,,,2025-04-26,,0.40453478945916255,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
107,2025-04-26 17:13:00,52.6687066,5.25504,3.71,,,,,,,,,,,,,2025-04-26,,0.41384999467110384,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
108,2025-04-26 17:18:00,52.6737883,5.261845,3.89,,,,,,,,,,,,,2025-04-26,,0.3933660937686533,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
109,2025-04-26 17:23:00,52.678725,5.268925,3.67,,,,,,,,,,,,,2025-04-26,,0.39312341856451444,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
110,2025-04-26 17:28:00,52.6831233,5.2774,2.85,,,,,,,,,,,,,2025-04-26,,0.4064261782043182,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
111,2025-04-26 17:33:00,52.685955,5.2873283,3.89,,,,,,,,,,,,,2025-04-26,,0.3996962540185829,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
112,2025-04-26 17:38:00,52.6903166,5.29539,4.21,,,,,,,,,,,,,2025-04-26,,0.3936012477992267,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
113,2025-04-26 17:43:00,52.69077,5.2955516,4.24,,,,,,,,,,,,,2025-04-26,,0.027874094264860202,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
114,2025-04-26 17:48:00,52.6970883,5.2959616,3.67,,,,,,,,,,,,,2025-04-26,,0.37997081770120056,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
115,2025-04-26 17:53:00,52.701815,5.302095,2.98,,,,,,,,,,,,,2025-04-26,,0.3613325311441922,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
116,2025-04-26 17:58:00,52.704935,5.3021233,3.1,,,,,,,,,,,,,2025-04-26,,0.1874888925645052,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
117,2025-04-26 18:03:00,52.703565,5.298825,3.05,,,,,,,,,,,,,2025-04-26,,0.1456036535838693,2025-04-26 - Hoorn - Makkum.md,2025-04-26,- Hoorn - Makkum, Hoorn ,, Makkum
118,2025-04-27 08:30:00,52.7031216,5.2996583,2.63,,,,,,,,,,,,,2025-04-27,,0.04038051018229912,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
119,2025-04-27 09:36:00,52.70307,5.2996616,2.63,,,,,,,,,,,,,2025-04-27,,0.00310305838180541,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
120,2025-04-27 09:47:00,52.703095,5.2996716,2.49,,,0.0,,0.1,,,,-155.0,4.7,,,2025-04-27,-0.1,0.001545790161234323,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
121,2025-04-27 11:23:00,52.7030466,5.2996866,2.5,,233.9,0.0,,0.0,35.1,,,161.0,3.4,,,2025-04-27,0.0,0.0029592781012293366,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
122,2025-04-27 11:29:00,52.703085,5.2996466,2.56,,233.9,0.0,,0.0,44.4,,,170.5,4.6,,,2025-04-27,0.3,0.0027287399578028535,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
123,2025-04-27 11:43:00,52.70313,5.29979,2.58,,232.3,0.0,74.2,0.3,33.2,,,159.5,3.7,,,2025-04-27,-0.3,0.005880184184616422,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
124,2025-04-27 11:48:00,52.70319,5.2987916,2.63,,197.1,0.0,,0.0,121.3,,,-75.5,3.5,,,2025-04-27,0.0,0.03653232383126949,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
125,2025-04-27 11:57:00,52.7032633,5.2986983,2.87,,200.4,0.0,,0.0,107.2,,,-92.5,2.8,,,2025-04-27,3.0,0.005562635159825336,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
126,2025-04-27 12:02:00,52.7051883,5.3025666,2.87,,51.5,2.3,42.5,3.0,347.0,-64.5,3.5,-35.0,5.5,,,2025-04-27,-0.3999999999999999,0.1822629128673143,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
127,2025-04-27 12:07:00,52.7054633,5.3095783,3.64,,83.8,2.2,71.8,2.6,22.1,-61.7,4.5,-40.0,6.2,,,2025-04-27,0.19999999999999973,0.25583322136167563,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
128,2025-04-27 12:12:00,52.708235,5.3115983,5.22,,356.0,2.2,351.2,2.8,67.1,71.1,2.2,31.0,4.1,,,2025-04-27,0.5,0.1820714928812025,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
129,2025-04-27 12:17:00,52.7121333,5.3116783,4.13,,358.9,2.8,358.0,3.3,59.1,60.2,2.1,23.0,4.7,,,2025-04-27,-1.1999999999999997,0.2342735250914453,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
130,2025-04-27 12:22:00,52.71591,5.3118433,3.65,,1.8,2.0,1.7,2.1,23.6,21.8,1.3,8.5,3.4,,,2025-04-27,0.19999999999999973,0.2270277429108632,2025-04-27 - Enkhuizen - Makkum.md,2025-04-27,- Enkhuizen - Makkum, Enkhuizen ,, Makkum
